Destination/Source,Armor Xemnas I,Armor Xemnas II,Axel I,Axel II,Barbossa,Blizzard Lord,Cerberus,Cloud,Dark Thorn,Demyx,Demyx OC,Final Xemnas,Grim Reaper I,Grim Reaper II,Groundshaker,Hades II,Hayner,Hercules,Hostile Program,Hydra,Jafar,Larxene,Leon,Lexaeus,Luxord,Marluxia,Oogie Boogie,Past Pete,Pete TR,Prison Keeper,Riku,Roxas,Saix,Sark,Scar,Seifer,Sephiroth,Setzer,Shadow Stalker,Shan-Yu,Storm Rider,Terra,The Beast,The Experiment,Thresholder,Tifa,Twilight Thorn,Vexen,Vivi,Volcano Lord,Xaldin,Xemnas,Xigbar,Yuffie,Zexion
Armor Xemnas I,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,
Armor Xemnas II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel II,,,,F,,,,G,,,,,,,X,X,,,,,X,,G,,,,,,,,,,,,X,,,,,,,,,,,G,,,,,,,,G,
Barbossa,,,,,,,,X,,,,,,,X,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,G,X,G
Blizzard Lord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerberus,,,,G,,,,X,,,,,,,,,,,,,,,X,,,,G,,,,,,,,,,,,,,,,G,,,X,,,,,,,,X,
Cloud,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Dark Thorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demyx,,,G,X,,X,X,X,,,,,,,X,,X,X,,,,,X,,,,,,X,,X,,,,G,G,,X,,,,,,,,X,G,,X,X,,,,X,
Demyx OC,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Final Xemnas,G,G,G,X,,X,,X,X,,,,,,,G,X,,,,X,,X,,,,,,X,,X,,,,,G,,X,X,X,,,,,,X,G,,X,X,,,,X,
Grim Reaper I,,,,G,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,
Grim Reaper II,,,X,X,,X,,X,X,,,,,,X,X,X,X,,,,,X,,,,,,X,,,,,,X,X,,X,X,,,,,,,X,X,,X,X,,,,X,
Groundshaker,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Hades II,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,
Hayner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,,X,,,,,X,,X,,,,,,,,,,,X,,,,,,
Hostile Program,,,,,,G,,G,,,,,,,,,G,G,,,,,G,,,,G,,G,,G,,,,,,,G,,,,,G,,,G,,,G,G,,,,G,
Hydra,,,X,X,G,X,,X,,,,,,,X,X,X,,,,,,X,,,,G,,X,,,,,,X,X,,X,,,,,G,,,X,X,,X,X,,,G,X,
